"EIN","NAME","address","STREET","CITY","STATE","ZIP","zipshrt","lon","lat"
202950752,"NAVAL ACADEMY PARENTS CLUB - TAMPA BAY CHAPTER","6511 SURFSIDE BLVD, APOLLO BEACH, FL, 33572-3011","6511 SURFSIDE BLVD","APOLLO BEACH","FL","33572-3011","33572",-82.423664,27.7856757
204961494,"SOUTHSHORE ROTARY FOUNDATION INC","5908 FORTUNE PL, APOLLO BEACH, FL, 33572-2643","5908 FORTUNE PL","APOLLO BEACH","FL","33572-2643","33572",-82.3981084,27.7631699
208225167,"TAMPA BAY TANG SOO DO KARATE FORCHRIST","118 FLAMINGO DR, APOLLO BEACH, FL, 33572-2633","118 FLAMINGO DR","APOLLO BEACH","FL","33572-2633","33572",-82.3959127,27.7648799
223193214,"CHURCH OF THE END TIMES INC","PO BOX 3296, APOLLO BEACH, FL, 33572-1000","PO BOX 3296","APOLLO BEACH","FL","33572-1000","33572",-82.4075935,27.7730836
237437667,"EMBRY-RIDDLE CHAPTER OF DELTA CHI FRATERNITY BUILDING CORPORATION IN","803 GOLF ISLAND DR, APOLLO BEACH, FL, 33572-2781","803 GOLF ISLAND DR","APOLLO BEACH","FL","33572-2781","33572",-82.4169108,27.7671169
260003805,"AMERICAN SEWING GUILD INC","6619 CURRENT DR, APOLLO BEACH, FL, 33572-1544","6619 CURRENT DR","APOLLO BEACH","FL","33572-1544","33572",-82.3797458,27.7791169
260718304,"WOUNDED WARRIORS IN ACTION FOUNDATION INC","6516 DOLPHIN COVE DR, APOLLO BEACH, FL, 33572-3040","6516 DOLPHIN COVE DR","APOLLO BEACH","FL","33572-3040","33572",-82.4190067,27.7804123
261986514,"HOOKED ON HOPE INC","6404 LAKE SUNRISE DR, APOLLO BEACH, FL, 33572-2305","6404 LAKE SUNRISE DR","APOLLO BEACH","FL","33572-2305","33572",-82.4192937,27.7737317
262075867,"FLORIDA PRESBYTERIAN PILGRIMAGE","237 MYSTIC FALLS DR, APOLLO BEACH, FL, 33572-3131","237 MYSTIC FALLS DR","APOLLO BEACH","FL","33572-3131","33572",-82.4063195,27.7574371
264698652,"LIGHTHOUSE INTERNATIONAL OUTREACH INC","235 APOLLO BEACH BLVD STE 263, APOLLO BEACH, FL, 33572-2251","235 APOLLO BEACH BLVD STE 263","APOLLO BEACH","FL","33572-2251","33572",-82.3935255,27.7710385
272884191,"FLORIDA STATE ANIMAL RESPONSE COALITION INC","925 BUNKER VIEW DR, APOLLO BEACH, FL, 33572-2816","925 BUNKER VIEW DR","APOLLO BEACH","FL","33572-2816","33572",-82.4222668,27.7609681
274547475,"ABOUT PETS INC","235 APOLLO BEACH BLVD SUITE 310, APOLLO BEACH, FL, 33572-2251","235 APOLLO BEACH BLVD SUITE 310","APOLLO BEACH","FL","33572-2251","33572",-82.3935255,27.7710385
300188784,"MICHAEL EDWARD GOULD FOUNDATON","719 MANNS HARBOR DR, APOLLO BEACH, FL, 33572-3391","719 MANNS HARBOR DR","APOLLO BEACH","FL","33572-3391","33572",-82.4296969,27.7504246
311267993,"EXTEND A HAND ASSOCIATION","106 SAINT GEORGE CT, APOLLO BEACH, FL, 33572-2277","106 SAINT GEORGE CT","APOLLO BEACH","FL","33572-2277","33572",-82.394998,27.776911
311799894,"APOLLO BEACH BEAUTIFICATION COMMITTEE","850 SYMPHONY ISLES BLVD, APOLLO BEACH, FL, 33572-2764","850 SYMPHONY ISLES BLVD","APOLLO BEACH","FL","33572-2764","33572",-82.4221654,27.7716533
320443218,"TOPS CLUB INC","545 FRANDOR PL, APOLLO BEACH, FL, 33572-2543","545 FRANDOR PL","APOLLO BEACH","FL","33572-2543","33572",-82.4066642,27.7691287
421668793,"GIRLS OF THE WORLD","6355 SHORE VISTA PL, APOLLO BEACH, FL, 33572-1575","6355 SHORE VISTA PL","APOLLO BEACH","FL","33572-1575","33572",-82.3740667,27.7710473
454517534,"TRIBUTE 2 LIFE INC","1212 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-3000","1212 APOLLO BEACH BLVD","APOLLO BEACH","FL","33572-3000","33572",-82.4228172,27.7803027
454692328,"MIRABAY DRAGON BOAT CLUB INC","503 BEACON SOUND WAY, APOLLO BEACH, FL, 33572-3372","503 BEACON SOUND WAY","APOLLO BEACH","FL","33572-3372","33572",-82.4241085,27.7513023
455434235,"THUNDER DRAGONS OF TAMPA BAY INC","918 BUNKER VIEW DR, APOLLO BEACH, FL, 33572-2815","918 BUNKER VIEW DR","APOLLO BEACH","FL","33572-2815","33572",-82.4213142,27.7610752
456598085,"JIM AND JANE MCELYA CHARITABLE FOUNDATION 11152011","6518 SURFSIDE BLVD, APOLLO BEACH, FL, 33572-3008","6518 SURFSIDE BLVD","APOLLO BEACH","FL","33572-3008","33572",-82.4247013,27.7859374
460887749,"FLYING DOG RESCUE INC","5315 MOON SHELL DR, APOLLO BEACH, FL, 33572-3539","5315 MOON SHELL DR","APOLLO BEACH","FL","33572-3539","33572",-82.4171659,27.7431737
460978426,"FAITH LIKE A CHILD INC","6410 TIDELINE DR, APOLLO BEACH, FL, 33572-1571","6410 TIDELINE DR","APOLLO BEACH","FL","33572-1571","33572",-82.3701496,27.7715537
462666439,"LORDS SUPPER","7702 PARADISO DR, APOLLO BEACH, FL, 33572-1645","7702 PARADISO DR","APOLLO BEACH","FL","33572-1645","33572",-82.3781148,27.7604295
462694543,"BUDDYBALL INC","282 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-2261","282 APOLLO BEACH BLVD","APOLLO BEACH","FL","33572-2261","33572",-82.3952966,27.7720775
464266120,"CATHY ZACCARI MEMORIAL FOUNDATION INC","6215 COLMAR PL, APOLLO BEACH, FL, 33572-1617","6215 COLMAR PL","APOLLO BEACH","FL","33572-1617","33572",-82.3693658,27.7653417
471656003,"BRIDGE BUILDERS VI INTERNATIONAL","5037 WHITE CHICORY DR, APOLLO BEACH, FL, 33572-3508","5037 WHITE CHICORY DR","APOLLO BEACH","FL","33572-3508","33572",-82.4053081,27.7367014
472981932,"NAM KNIGHTS MC OF AMERICA","5513 GOLDEN ISLES DR, APOLLO BEACH, FL, 33572-3366","5513 GOLDEN ISLES DR","APOLLO BEACH","FL","33572-3366","33572",-82.4159501,27.7534682
474369649,"PM2 FOUNDATION INC","430 ISLAND CAY WAY, APOLLO BEACH, FL, 33572-2658","430 ISLAND CAY WAY","APOLLO BEACH","FL","33572-2658","33572",-82.399972,27.7694643
474678125,"BORN TO PRAISE OUTREACH MINISTRIES INC","7517 REGENTS GARDEN WAY, APOLLO BEACH, FL, 33572-1507","7517 REGENTS GARDEN WAY","APOLLO BEACH","FL","33572-1507","33572",-82.3708275,27.7845198
474816327,"JOSE A ALVAREZ MEMORIAL FUND","605 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-2121","605 APOLLO BEACH BLVD","APOLLO BEACH","FL","33572-2121","33572",-82.4065629,27.7746438
590689243,"OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION","321 FLAMINGO DR, APOLLO BEACH, FL, 33572-2621","321 FLAMINGO DR","APOLLO BEACH","FL","33572-2621","33572",-82.3989421,27.7679792
591271970,"TAMPA SAILING SQUADRON INC","PO BOX 3277, APOLLO BEACH, FL, 33572-1002","PO BOX 3277","APOLLO BEACH","FL","33572-1002","33572",-82.4075935,27.7730836
591994122,"CARIBBEAN ISLES RESIDENTIAL PARK CIVIC ASSOCIATION INC","405 ELSBERRY RD, APOLLO BEACH, FL, 33572-2203","405 ELSBERRY RD","APOLLO BEACH","FL","33572-2203","33572",-82.3963369,27.7752825
592189732,"CIVIL SERVICE EMPLOYEES ASSOCIATION","6803 GUILFORD CREST DR, APOLLO BEACH, FL, 33572-1723","6803 GUILFORD CREST DR","APOLLO BEACH","FL","33572-1723","33572",-82.3741959,27.7833174
592789202,"RUSKIN HISTORICAL TRUST","5908 FORTUNE PL, APOLLO BEACH, FL, 33572-2643","5908 FORTUNE PL","APOLLO BEACH","FL","33572-2643","33572",-82.3981084,27.7631699
593116916,"CARIBBEAN COMMUNITY ASSOCIATION INC","311 COCKLE SHELL LOOP, APOLLO BEACH, FL, 33572-3534","311 COCKLE SHELL LOOP","APOLLO BEACH","FL","33572-3534","33572",-82.4094582,27.7443971
593539727,"APOLLO BEACH WOMANS CLUB INC","PO BOX 3534, APOLLO BEACH, FL, 33572-1005","PO BOX 3534","APOLLO BEACH","FL","33572-1005","33572",-82.4075935,27.7730836
593643423,"TSS YOUTH SAILING INC","PO BOX 3211, APOLLO BEACH, FL, 33572-1001","PO BOX 3211","APOLLO BEACH","FL","33572-1001","33572",-82.4075935,27.7730836
650544702,"PTA FLORIDA CONGRESS","501 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-2117","501 APOLLO BEACH BLVD","APOLLO BEACH","FL","33572-2117","33572",-82.4020472,27.7750872
651285091,"PTA FLORIDA CONGRESS","6720 COVINGTON GARDEN DR, APOLLO BEACH, FL, 33572-1534","6720 COVINGTON GARDEN DR","APOLLO BEACH","FL","33572-1534","33572",-82.3692175,27.7812443
811366187,"POSEIDON SCUBA DIVERS CORP","943 SYMPHONY ISLES BLVD, APOLLO BEACH, FL, 33572-2785","943 SYMPHONY ISLES BLVD","APOLLO BEACH","FL","33572-2785","33572",-82.4276436,27.7691397
815112231,"SEAGLASS CHURCH INC","202 FLAMINGO DR, APOLLO BEACH, FL, 33572-2620","202 FLAMINGO DR","APOLLO BEACH","FL","33572-2620","33572",-82.3965883,27.7651889
820905296,"SALTY FISHING CLUB INC","6301 BALBOA LN, APOLLO BEACH, FL, 33572-2315","6301 BALBOA LN","APOLLO BEACH","FL","33572-2315","33572",-82.4208696,27.773048
821167924,"IMPACTS TRANSITIONAL LIFE-SKILL CENTER INC","6004 ADAGIO LN, APOLLO BEACH, FL, 33572-2721","6004 ADAGIO LN","APOLLO BEACH","FL","33572-2721","33572",-82.4268016,27.7686598
821728849,"ETIQUETTE SCHOOL OF REFINED MINDS INC","6918 SAIL VIEW LN, APOLLO BEACH, FL, 33572-1536","6918 SAIL VIEW LN","APOLLO BEACH","FL","33572-1536","33572",-82.3760235,27.7876698
822751681,"FOUNDATION FOR GLOBAL LITERACY-USA V E T S","6928 EBB TIDE AVE, APOLLO BEACH, FL, 33572-1634","6928 EBB TIDE AVE","APOLLO BEACH","FL","33572-1634","33572",-82.3786232,27.7697451
822797500,"CREATORS HANDS INC","947 SYMPHONY ISLES BLVD, APOLLO BEACH, FL, 33572-2785","947 SYMPHONY ISLES BLVD","APOLLO BEACH","FL","33572-2785","33572",-82.4281517,27.7690765
823326119,"COQUI NATION INC","6915 MAKERS WAY, APOLLO BEACH, FL, 33572-1755","6915 MAKERS WAY","APOLLO BEACH","FL","33572-1755","33572",-82.3811015,27.7745482
824938474,"APOLLO BEACH GARDEN CLUB INC","PO BOX 2294, APOLLO BEACH, FL, 33572-0000","PO BOX 2294","APOLLO BEACH","FL","33572-0000","33572",-82.4075935,27.7730836
830715628,"CHURCH OF HARMONY AND SACRED SPACE INC","6319 BALBOA LN, APOLLO BEACH, FL, 33572-2329","6319 BALBOA LN","APOLLO BEACH","FL","33572-2329","33572",-82.4205402,27.7747588
830719889,"FLORIDA ELITE HOCKEY CLUB","5634 SKIMMER DR, APOLLO BEACH, FL, 33572-3354","5634 SKIMMER DR","APOLLO BEACH","FL","33572-3354","33572",-82.4190416,27.7554195
831434063,"BLADE FOUNDATION","883 SYMPHONY ISLES BLVD, APOLLO BEACH, FL, 33572-2766","883 SYMPHONY ISLES BLVD","APOLLO BEACH","FL","33572-2766","33572",-82.4245927,27.7722595
832826473,"LIFE ACADEMY INC","6520 RICHIES WAY, APOLLO BEACH, FL, 33572-2125","6520 RICHIES WAY","APOLLO BEACH","FL","33572-2125","33572",-82.4042959,27.7761083
834014555,"ARKHAVEN COMMUNITIES","603 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-2121","603 APOLLO BEACH BLVD","APOLLO BEACH","FL","33572-2121","33572",-82.4063245,27.7746395
834231286,"1000 MERMAIDS PROJECT CORP","5213 ADMIRAL POINTE DR, APOLLO BEACH, FL, 33572-3430","5213 ADMIRAL POINTE DR","APOLLO BEACH","FL","33572-3430","33572",-82.4075935,27.7730836
842912410,"STUDENTS SUPPORTING SOLDIERS INC","6511 SURFSIDE BLVD, APOLLO BEACH, FL, 33572-3011","6511 SURFSIDE BLVD","APOLLO BEACH","FL","33572-3011","33572",-82.423664,27.7856757
842932236,"DAWN HORIZONS INC","6450 TIDELINE DR, APOLLO BEACH, FL, 33572-1571","6450 TIDELINE DR","APOLLO BEACH","FL","33572-1571","33572",-82.3701496,27.7751957
843177682,"VOICES AGAINST SEXUAL ASSAULT","7623 PARADISO DR, APOLLO BEACH, FL, 33572-1644","7623 PARADISO DR","APOLLO BEACH","FL","33572-1644","33572",-82.3774369,27.7594816
851096461,"EGGS TO EAGLES INC","7305 HOURGLASS DR, APOLLO BEACH, FL, 33572-1581","7305 HOURGLASS DR","APOLLO BEACH","FL","33572-1581","33572",-82.3730519,27.7753332
851281055,"COUNTRYWIDE TREE OF LIFE MINISTRIES","5202 CLOVER MIST DR, APOLLO BEACH, FL, 33572-3419","5202 CLOVER MIST DR","APOLLO BEACH","FL","33572-3419","33572",-82.433388,27.7359953
852476932,"LENNARD HIGH SCHOOL FFA ALUMNI INC","6508 SALT CREEK AVE, APOLLO BEACH, FL, 33572-1770","6508 SALT CREEK AVE","APOLLO BEACH","FL","33572-1770","33572",-82.3822877,27.7738852
852663336,"A WOMAN WHO KNOWS HER WORTH","5148 CLOVER MIST DR, APOLLO BEACH, FL, 33572-3418","5148 CLOVER MIST DR","APOLLO BEACH","FL","33572-3418","33572",-82.433725,27.7360068
853241138,"PREPANDME INC","5726 SEA TURTLE PL, APOLLO BEACH, FL, 33572-3350","5726 SEA TURTLE PL","APOLLO BEACH","FL","33572-3350","33572",-82.4224667,27.7558863
853747243,"GLOBAL SPORTS ALLIANCE INC","889 SYMPHONY ISLES BLVD, APOLLO BEACH, FL, 33572-2766","889 SYMPHONY ISLES BLVD","APOLLO BEACH","FL","33572-2766","33572",-82.4250315,27.7722341
861507767,"GET MAXWELL","729 WINTERSIDE DR, APOLLO BEACH, FL, 33572-3414","729 WINTERSIDE DR","APOLLO BEACH","FL","33572-3414","33572",-82.4310304,27.7434623
862675448,"TAMPABAY4CHRIST INC","202 FLAMINGO DR, APOLLO BEACH, FL, 33572-2620","202 FLAMINGO DR","APOLLO BEACH","FL","33572-2620","33572",-82.3965883,27.7651889
862985456,"YOUR ABUNDANT LIFE INC","453 BAHAMA GRANDE BLVD, APOLLO BEACH, FL, 33572-2564","453 BAHAMA GRANDE BLVD","APOLLO BEACH","FL","33572-2564","33572",-82.3985532,27.7738251
863337083,"OCEAN RESCUE ALLIANCE","5213 ADMIRAL POINTE DR, APOLLO BEACH, FL, 33572-3430","5213 ADMIRAL POINTE DR","APOLLO BEACH","FL","33572-3430","33572",-82.4075935,27.7730836
872735303,"TAMPA BAY WRESTLING BOOSTER CLUB INC","425 ISLEBAY DR, APOLLO BEACH, FL, 33572-3332","425 ISLEBAY DR","APOLLO BEACH","FL","33572-3332","33572",-82.4208163,27.7551122
874007392,"RISE TO SUCCESS INC","5042 INSHORE LANDING DR, APOLLO BEACH, FL, 33572-3436","5042 INSHORE LANDING DR","APOLLO BEACH","FL","33572-3436","33572",-82.4368298,27.7383608
880747389,"PROMISED DREAMS FARMS INC","6304 FAIRWAY BLVD, APOLLO BEACH, FL, 33572-2409","6304 FAIRWAY BLVD","APOLLO BEACH","FL","33572-2409","33572",-82.4081666,27.769892
881469880,"MASSE INC","5713 SEA TURTLE PL, APOLLO BEACH, FL, 33572-3351","5713 SEA TURTLE PL","APOLLO BEACH","FL","33572-3351","33572",-82.4219777,27.7548308
882150986,"JAMAICA MISSIONS IMPACT TEAM INC","6306 WAVES END PL, APOLLO BEACH, FL, 33572-1738","6306 WAVES END PL","APOLLO BEACH","FL","33572-1738","33572",-82.3703827,27.7677197
882265937,"TRAVEL BASEBALL OF TAMPA BAY INC","6433 TIDELINE DR, APOLLO BEACH, FL, 33572-1571","6433 TIDELINE DR","APOLLO BEACH","FL","33572-1571","33572",-82.36962,27.7735503
882534723,"KOONTZ FAMILY FOUNDATION","5818 SILVER SUN DR, APOLLO BEACH, FL, 33572-2089","5818 SILVER SUN DR","APOLLO BEACH","FL","33572-2089","33572",-82.378602,27.7579751
883974406,"ELEMONT","7308 HERMES CT, APOLLO BEACH, FL, 33572-1585","7308 HERMES CT","APOLLO BEACH","FL","33572-1585","33572",-82.3739417,27.7685991
884413788,"HATTIE MAE KIMBLE FOUNDATION","235 APOLLO BEACH BLVD 146, APOLLO BEACH, FL, 33572-2251","235 APOLLO BEACH BLVD 146","APOLLO BEACH","FL","33572-2251","33572",-82.3935255,27.7710385
912129069,"MOMS CLUB","7619 HAMPSHIRE GARDEN PL, APOLLO BEACH, FL, 33572-1514","7619 HAMPSHIRE GARDEN PL","APOLLO BEACH","FL","33572-1514","33572",-82.3664209,27.7813629
920370521,"FEW WHO FLEW INC","7611 NOTTINGHILL SKY DR, APOLLO BEACH, FL, 33572-1526","7611 NOTTINGHILL SKY DR","APOLLO BEACH","FL","33572-1526","33572",-82.3661611,27.7798008
922658866,"FOSTER ANONYMOUS INC","5517 GOLDEN ISLES DR, APOLLO BEACH, FL, 33572-3366","5517 GOLDEN ISLES DR","APOLLO BEACH","FL","33572-3366","33572",-82.4162224,27.7534403
922672553,"WANDERING SAVIOR CHURCH","423 WINTERSIDE DR, APOLLO BEACH, FL, 33572-3397","423 WINTERSIDE DR","APOLLO BEACH","FL","33572-3397","33572",-82.4273338,27.7435371
923226104,"WILLIAM JOHN HUSTON FOUNDATION INC","532 FAIRFAX LN, APOLLO BEACH, FL, 33572-2505","532 FAIRFAX LN","APOLLO BEACH","FL","33572-2505","33572",-82.4057952,27.769352
591057192,"BALM BAPTIST CHURCH","PO BOX 8, BALM, FL, 33503-0008","PO BOX 8","BALM","FL","33503-0008","33503",-82.2646233,27.7592438
822122802,"ALEXSTRONG FOUNDATION INC","PO BOX 568, BALM, FL, 33503-0568","PO BOX 568","BALM","FL","33503-0568","33503",-82.2646233,27.7592438
10699969,"COMPASS CHARTER MIDDLE SCHOOL","550 E CLOWER ST, BARTOW, FL, 33830-6403","550 E CLOWER ST","BARTOW","FL","33830-6403","33830",-81.8418759,27.8790744
20619609,"HEARTLAND FOR CHILDREN INC","1239 EAST MAIN STREET, BARTOW, FL, 33830-5058","1239 EAST MAIN STREET","BARTOW","FL","33830-5058","33830",-81.8300106,27.8975474
61714943,"NEW LIFE HOUSE OF PRAYER MINISTRIES INC","3180 US HIGHWAY 17 S, BARTOW, FL, 33830-9661","3180 US HIGHWAY 17 S","BARTOW","FL","33830-9661","33830",-81.8275809,27.8578743
237009312,"FLORIDA FEED ASSOCIATION INC","2055 S FLORAL AVE LOT 198, BARTOW, FL, 33830-7100","2055 S FLORAL AVE LOT 198","BARTOW","FL","33830-7100","33830",-81.8528438,27.8769487
237027455,"NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION","1990 HERMOSA AVE, BARTOW, FL, 33830-7329","1990 HERMOSA AVE","BARTOW","FL","33830-7329","33830",-81.8365673,27.8754777
237095332,"REDEEMER LUTHERAN CHURCH","390 E PARKER ST, BARTOW, FL, 33830-4721","390 E PARKER ST","BARTOW","FL","33830-4721","33830",-81.8409854,27.8950814
260469927,"BARTOW UNLIMITED FOOTBALL ANDCHEERLEADING","540 S ORANGE AVE, BARTOW, FL, 33830-4927","540 S ORANGE AVE","BARTOW","FL","33830-4927","33830",-81.8360337,27.8926969
261337444,"RESIDENTS FOR COMMUNITY IMPROVEMENTS INC","2874 BARTON PL, BARTOW, FL, 33830-9589","2874 BARTON PL","BARTOW","FL","33830-9589","33830",-81.7981593,27.9368003
263404876,"ESSENTIAL TRUTH MINISTRIES INC","1465 LAUREL ST, BARTOW, FL, 33830-5129","1465 LAUREL ST","BARTOW","FL","33830-5129","33830",-81.8288636,27.8921396
273236022,"COVENANT WOMEN OF PURPOSE","1615 TAYLOR LANDING DR, BARTOW, FL, 33830-3318","1615 TAYLOR LANDING DR","BARTOW","FL","33830-3318","33830",-81.8356495,27.9113095
273531857,"BARTOW BAND BOOSTERS INC","1270 S BROADWAY AVE, BARTOW, FL, 33830-6429","1270 S BROADWAY AVE","BARTOW","FL","33830-6429","33830",-81.842598,27.8837504
451175896,"EASTSIDE POSITIVE ACTION COMMITTEE INC","1865 E GIBBONS ST, BARTOW, FL, 33830-6712","1865 E GIBBONS ST","BARTOW","FL","33830-6712","33830",-81.8242721,27.8856578
455453644,"OPEN DOOR OUTREACH NETWORK MINISTRY INC","3550 OLD BARTOW EAGLE LAKE RD, BARTOW, FL, 33830-2903","3550 OLD BARTOW EAGLE LAKE RD","BARTOW","FL","33830-2903","33830",-81.8000813,27.9465935
455546683,"TEAM ASSET INC","115 E VAN FLEET DR MSC 302, BARTOW, FL, 33830-3829","115 E VAN FLEET DR MSC 302","BARTOW","FL","33830-3829","33830",-81.8429916,27.9026547
462621324,"POLK COUNTY JUNIOR CATTLEMENS ASSOCIATION","1702 US HIGHWAY 17 S, BARTOW, FL, 33830-6633","1702 US HIGHWAY 17 S","BARTOW","FL","33830-6633","33830",-81.8283601,27.8757751
464436735,"RENSEL CORPORATION","520 FORMOSA AVE, BARTOW, FL, 33830-4400","520 FORMOSA AVE","BARTOW","FL","33830-4400","33830",-81.8470038,27.8912107
465654646,"PTA FLORIDA CONGRESS","1795 E WABASH ST, BARTOW, FL, 33830-5256","1795 E WABASH ST","BARTOW","FL","33830-5256","33830",-81.8213528,27.8925128
473004197,"ORPHEUM THEATER AND PERFORMING ARTS ACADEMY","1280 E HIBISCUS DR, BARTOW, FL, 33830-7217","1280 E HIBISCUS DR","BARTOW","FL","33830-7217","33830",-81.8324691,27.8795987
473763281,"ST JAMES TRANSFORMATION LIFESTYLE ZONE","795 4TH AVE, BARTOW, FL, 33830-0000","795 4TH AVE","BARTOW","FL","33830-0000","33830",-81.8322461,27.8905361
474835738,"POLK COUNTY IMMUNIZATION COALITION INC","1290 GOLFVIEW AVE, BARTOW, FL, 33830-6703","1290 GOLFVIEW AVE","BARTOW","FL","33830-6703","33830",-81.8219956,27.8822096
475387418,"BARTOW REGIONAL MEDICAL CENTER INC","2200 OSPREY BLVD, BARTOW, FL, 33830-3308","2200 OSPREY BLVD","BARTOW","FL","33830-3308","33830",-81.8443422,27.9184187
475488030,"RAINEY HOUSE INC","115 EAST VAN FLEET DRIVE SUITE 239, BARTOW, FL, 33830-3829","115 EAST VAN FLEET DRIVE SUITE 239","BARTOW","FL","33830-3829","33830",-81.8429916,27.9026547
562664655,"LIVING WORD OF FAITH ASSEMBLY OF GOD","1127 PINECREST DR, BARTOW, FL, 33830-3250","1127 PINECREST DR","BARTOW","FL","33830-3250","33830",-81.8584422,27.9056178
590156353,"GREATER BARTOW CHAMBER OF COMMERCE INC","510 N BROADWAY AVE, BARTOW, FL, 33830-3918","510 N BROADWAY AVE","BARTOW","FL","33830-3918","33830",-81.8430556,27.8994995
590580477,"FLORIDA CITRUS MUTUAL INC","600 N BROADWAY AVENUE 1ST F SUITE 1, BARTOW, FL, 33830-3819","600 N BROADWAY AVENUE 1ST F SUITE 1","BARTOW","FL","33830-3819","33830",-81.8424833,27.9012337
590830737,"FIRST BAPTIST CHURCH OF BARTOW","410 E CHURCH ST, BARTOW, FL, 33830-3928","410 E CHURCH ST","BARTOW","FL","33830-3928","33830",-81.8404402,27.8983894
590998544,"FIRST PRESBYTERIAN CHURCH OF BARTOW FLORIDA","355 S FLORIDA AVE, BARTOW, FL, 33830-4706","355 S FLORIDA AVE","BARTOW","FL","33830-4706","33830",-81.8409214,27.8947367
591152677,"FLORIDA EDUCATION ASSOCIATION","730 E DAVIDSON ST, BARTOW, FL, 33830-4019","730 E DAVIDSON ST","BARTOW","FL","33830-4019","33830",-81.8371562,27.8974277
591162397,"CHURCH SERVICE CENTER INC","495 E SUMMERLIN ST, BARTOW, FL, 33830-4732","495 E SUMMERLIN ST","BARTOW","FL","33830-4732","33830",-81.8399874,27.8954118
591558634,"BARTOW BIBLE BAPTIST CHURCH INC","780 E MAIN ST, BARTOW, FL, 33830-4832","780 E MAIN ST","BARTOW","FL","33830-4832","33830",-81.8362216,27.8969172
591642132,"MAIN STREET BAPTIST CHURCH","1140 E MAIN ST, BARTOW, FL, 33830-5003","1140 E MAIN ST","BARTOW","FL","33830-5003","33830",-81.8320352,27.8970176
591749986,"LAKE RUTH BAPTIST CHURCH","800 W CLOWER ST, BARTOW, FL, 33830-7005","800 W CLOWER ST","BARTOW","FL","33830-7005","33830",-81.850245,27.8789317
