"DapipId","OpeId","IpedsUnitIds","LocationName","ParentName","ParentDapipId","LocationType","Address","GeneralPhone","AdminName","AdminPhone","AdminEmail","Fax","UpdateDate","zip","zipshrt","lon","lat"
109387,"2172700","133863","Concorde Career Institute","-","-","Institution","4202 W. Spruce Street, Tampa, FL 33607","8138740094","Raymond Nunziata Jr.","8138740094","rnunziata@concorde.edu",8138726884,"","33607","33607",-82.514454,27.959068
109457015,"2305805","487427","Florida Career College - Riverview","Florida Career College - Miami","109457","Additional Location","9950 Princess Palm Avenue, Suite 100, Tampa, FL 33619","","","","",NA,"","33619","33619",-82.3369261,27.9806496
109457016,"2586200","364885","Florida Career College - Clearwater","Florida Career College - Miami","109457","Additional Location","410 Park Place Blvd, Clearwater, FL 33759","","","","",NA,"12/31/2014 0:00","33759","33759",-82.7270748,27.9625804
109493006,"","","Florida Technical College","Florida Technical College","109493","Additional Location","1111 North Westshore Blvd., Suite 110, Tampa, FL 33607","","","","",NA,"11/7/2018 0:00","33607","33607",-82.5234085,27.9536705
109518006,"","","University of Florida -St. Petersburg Campus","University of Florida","109518","Additional Location","9200 113th Street, N, St. Petersburg, FL 33772","","","","",NA,"","33772","33772",-82.7986615,27.8579032
109590,"787000","134495","Hillsborough Community College","-","-","Institution","4115 North Lois Avenue, Tampa, FL 33614","8132537000","Ken Atwater","8132537050","katwater@hccfl.edu",NA,"2/17/2023 0:00","33614","33614",-82.5126643,27.976724
109590005,"","","Dale Mabry","Hillsborough Community College","109590","Additional Location","4001 Tampa Bay Boulevard, Tampa, FL 33614","","","","",NA,"","33614","33614",-82.5092816,27.9761759
109590006,"","","Brandon","Hillsborough Community College","109590","Additional Location","10414 E Columbus Dr, Brandon, FL 33619","","","","",NA,"","33619","33619",-82.3284713,27.9702195
109590008,"","","Plant City","Hillsborough Community College","109590","Additional Location","1206 N Park Rd, Plant City, FL 33566","","","","",NA,"","33566","33566",-82.1030339,28.0260852
109590009,"","","Ybor City","Hillsborough Community College","109590","Additional Location","2112 N 15th St, Tampa, FL 33605","","","","",NA,"","33605","33605",-82.4432839,27.9630091
109624,"2279600","134574","Cortiva Institute - Florida","-","-","Institution","2370 34th St. N., St. Petersburg, FL 33713","7275415200, ext. 10","SHERRY FEARS","7275415200, ext. 16","sfears1@tampabay.rr.com",7275450053,"8/1/2017 0:00","33713","33713",-82.6801237,27.7935962
109660002,"","","Art Institute of Tampa","Miami International University of Art and Design","109660","Additional Location","4401 North Himes Avenue Suite 150, Tampa, FL 33614-7001","","","","",NA,"","33614-7001","33614",-82.5004407,27.9822927
109712014,"2151903","420741","Keiser University - Sarasota","Keiser University","109712","Additional Location","6151 Lake Osprey Dr., Sarasota, FL 34240","","","","",NA,"","34240","34240",-82.4457769,27.3845325
109712017,"","","Keiser University - Tampa","Keiser University","109712","Additional Location","5002 W. Waters Avenue, Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5294327,28.0248903
109828,"1016100","135337","Loraine?s Academy, Inc.","-","-","Institution","1012 58th St N, Saint Petersburg, FL 33710","7273474247, ext. 105","NANCY B FORDHAM","7273474247, ext. 103","nfordham@lorainesacademy.edu",NA,"","33710","33710",-82.7138487,27.7831842
109855,"561200","135407","Manatee Technical College","-","-","Institution","6305 State Road 70 East, Bradenton, FL 34203","9417517900","MARY CANTRELL","9417517900, ext. 2012","cantrellm@fc.manatee.k12.fl.us",9417517927,"","34203","34203",-82.4758647,27.4461213
109855002,"","","Manatee Technical Institute - East Campus","Manatee Technical College","109855","Additional Location","5520 Lakewood Ranch Blvd., Bradenton, FL 34211","","","","",NA,"2/1/2019 0:00","34211","34211",-82.4330412,27.4439563
109855003,"","","Manatee Technical Institute - North Campus","Manatee Technical College","109855","Additional Location","801 9th Street West, Palmetto, FL 34221","","","","",NA,"","34221","34221",-82.5739478,27.519771
109864,"2148300","135416","Manhattan Hairstyling Academy","-","-","Institution","4315 South Manhattan Avenue, Tampa, FL 33611","8132580505","ROBERT E VALDEZ","8132580505","",NA,"1/1/1900 0:00","33611","33611",-82.5188085,27.9016991
109864002,"2148304","","Manhattan Hairstyling Academy","Manhattan Hairstyling Academy","109864","Additional Location","6401 West Waters Avenue, Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5504734,28.0266324
109864003,"2148301","","Manhattan Hairstyling Academy","Manhattan Hairstyling Academy","109864","Additional Location","2317 East Fletcher Avenue, Tampa, FL 33612","","","","",NA,"","33612","33612",-82.4307995,28.0688357
109864005,"2148303","","Manhattan Hairstyling Academy","Manhattan Hairstyling Academy","109864","Additional Location","2800 North MacDill Avenue, Suites Q & R, Tampa, FL 33607","","","","",NA,"","33607","33607",-82.4936483,27.9665441
109961,"3026508","135939","Remington College - Tampa Campus","-","-","Institution","6302 E. Dr. Martin Luther King Jr Blvd., Suite 400, Tampa, FL 33619","8139355700","WILLIAM POLMEAR","8139355700, ext. 211","WILLIAM.POLMEAR@REMINGTONCOLLEGE.EDU",8139357415,"","33619","33619",-82.3856978,27.9839403
110024,"2305700","136075","Fortis College - Tampa","-","-","Institution","3910 US Hwy 301 N, Suite 200, Tampa, FL 33619","8136201446","TODD MATTHEWS","8136201446","tmatthews@webstercollege.com",NA,"12/31/2013 0:00","33619","33619",-82.3777335,27.9363828
110158005,"","","Porter Campus","Pasco-Hernando State College","110158","Additional Location","Wiregrass Ranch 2727 Mansfield Blvd, Wesley Chapel, FL 33543","","","","",NA,"","33543","33543",-82.328616,28.1911571
110176,"560500","136491","Pinellas Technical College - Clearwater Campus","-","-","Institution","6100 154th Avenue, North, Clearwater, FL 33760","7275387167","Jakub Prokop","7275387167, ext. 1006","PROKOPJ@pcsb.org",7275244445,"8/12/2014 0:00","33760","33760",-82.7178537,27.9103828
110194,"","136552","Poynter Institute for Media Studies","-","-","Institution","801 Third Street South, St. Petersburg, FL 33701","7278219494","","","",NA,"","33701","33701",-82.6373651,27.7621202
110316010,"","","MacDill Education Office","Saint Leo University","110316","Additional Location","8102 Condor St Suite 116, MacDill AFB, FL 33621","","","","",NA,"","33621","33621",-82.4894488,27.8504749
110316017,"","","St. Petersburg Education Office","Saint Leo University","110316","Additional Location","9200 113th St N #128 University Partnership Center, Seminole, FL 33772","","","","",NA,"","33772","33772",-82.7986615,27.8579032
110316018,"","","Ctr for Online Learning","Saint Leo University","110316","Additional Location","9417 Princess Palm Ave Suite 150, Tampa, FL 33619","","","","",NA,"","33619","33619",-82.3425187,27.9788589
110316033,"","","Saint Petersburg Catholic High School","Saint Leo University","110316","Additional Location","6333 9th Avenue North, Saint Petersburg,, FL 33710","","","","",NA,"","33710","33710",-82.7213526,27.7816667
110316034,"","","Tampa Catholic High School","Saint Leo University","110316","Additional Location","4630 North Rome Avenue, Tampa, FL 33603","","","","",NA,"","33603","33603",-82.4776448,27.9873655
110316037,"","","Tampa Education Center","Saint Leo University","110316","Additional Location","1120 East Kennedy Boulevard - Suite 238, Tampa, FL 33602","","","","",NA,"","33602","33602",-82.4478585,27.9508695
110316044,"","","Tech Data Corporation","Saint Leo University","110316","Additional Location","5350 Tech Data Drive, Clearwater, FL 33760","","","","",NA,"","33760","33760",-82.707835,27.917127
110325,"152800","137078","St. Petersburg College","-","-","Institution","P. O. Box 13489, Largo, FL 33760","7273413781","Tonjua Williams","7273413214","williams.tonjua@spcollege.edu",NA,"12/3/2018 0:00","33760","33760",-82.7873244,27.9094665
110325004,"152805","","Health Education Center","St. Petersburg College","110325","Additional Location","7200 66th St. N., Pinellas Park, FL 33781","","","","",NA,"","33781","33781",-82.7301623,27.8380099
110325012,"152801","","Clearwater Campus","St. Petersburg College","110325","Additional Location","2465 Drew St, Clearwater, FL 33765-2816","","","","",NA,"","33765-2816","33765",-82.7353674,27.965123
110325013,"152807","","Seminole Campus","St. Petersburg College","110325","Additional Location","9200 113th St N, Seminole, FL 33772-2800","","","","",NA,"","33772-2800","33772",-82.7986615,27.8579032
110325014,"152802","","St. Petersburg Campus","St. Petersburg College","110325","Additional Location","6605 Fifth Ave N, St. Petersburg, FL 33710-4772","","","","",NA,"","33710-4772","33710",-82.7300569,27.7779116
110325016,"152806","","Allstate Center","St. Petersburg College","110325","Additional Location","3200 34th St S, St. Petersburg, FL 33711-3829","","","","",NA,"","33711-3829","33711",-82.6781813,27.7383543
110325017,"","","Downtown Center","St. Petersburg College","110325","Additional Location","201 4th St N, St. Petersburg, FL 33701","","","","",NA,"","33701","33701",-82.6381939,27.7737833
110325019,"","","ICOT Corporate Training Center","St. Petersburg College","110325","Additional Location","14044 ICOT Blvd, Clearwater, FL 33760","","","","",NA,"","33760","33760",-82.7161296,27.8995091
110325020,"","","Young-Rainey STAR Center","St. Petersburg College","110325","Additional Location","7887 Bryan Dairy Rd, Largo, FL 33777","","","","",NA,"","33777","33777",-82.7489046,27.8735204
110334,"2115300","137087","Pinellas Technical College - St. Petersburg Campus","-","-","Institution","901 34th Street, South, Saint Petersburg, FL 33711","7278932500","Boe Norwood","7278932500, ext. 1023","norwoods@pcsb.org",NA,"9/7/2014 0:00","33711","33711",-82.6821868,27.7605662
110334003,"","","Pinellas Technical College - St. Petersburg Campus, Tomlinson Adult Learning Center","Pinellas Technical College - St. Petersburg Campus","110334","Additional Location","296 Mirror Lake Drive North, St. Petersburg, FL 33701","","","","",NA,"","33701","33701",-82.6440402,27.7750666
110422,"153700","137351","University of South Florida","-","-","Institution","4202 East Fowler Ave, Tampa, FL 33620-9951","8139742011","DR. JUDY GENSHAFT","8139743350","JGensha@admin.usf.edu",NA,"","33620-9951","33620",-82.4102342,28.0557999
110422002,"153701","448840","USF St. Petersburg","University of South Florida","110422","Additional Location","140 7th Ave South, St Petersburg, FL 33701","","","","",NA,"","33701","33701",-82.6350207,27.7633053
110422003,"","","USF Tampa (USF Health)","University of South Florida","110422","Additional Location","13301 N. Bruce B. Downs Boulevard, Tampa, FL 33612-3807","","","","",NA,"","33612-3807","33612",-82.4229504,28.0681181
110477003,"153101","","SU Coll of Law","Stetson University","110477","Additional Location","1401 61st Street South, Gulfport, FL 33707-3299","","","","",NA,"","33707-3299","33707",-82.7175736,27.7565553
110486003,"","","Southeastern University School of Divinity at Bayside Community Church","Southeastern University","110486","Additional Location","15800 FL-64, Bradenton, FL 34212","","","","",NA,"","34212","34212",-82.3820547,27.4729149
110501,"2337000","137625","Suncoast II the Tampa Bay School of Massage Therapy LLC","-","-","Institution","2005 Pan Am Circle Suite 100, Tampa, FL 33607","8132871099","James Saunders","8132871099","jsaunders@suncoastii.com",8132871914,"","33607","33607",-82.5124566,27.9609612
110565,"153800","137847","The University of Tampa","-","-","Institution","401 W Kennedy Blvd, Tampa, FL 33606-1490","8132533333","RONALD L VAUGHN","8132536211","",NA,"","33606-1490","33606",-82.4672356,27.9468758
111188016,"1303908","449898","South University Tampa","South University","111188","Additional Location","Parkside at Tampa Bay Park 4401 N Hines Ave, Tampa, FL 33614","","","","",NA,"","33614","33614",-82.4981097,27.9826491
113704021,"","","Moody Bible Institute at Christ Community Church","Moody Bible Institute","113704","Additional Location","6202 N. Himes Avenue, Tampa, FL 33614","","","","",NA,"1/1/2014 0:00","33614","33614",-82.5015575,28.0041881
113777013,"173308","","National Louis University - Florida Regional Campus","National Louis University","113777","Additional Location","4950 W. Kennedy Blvd., Suite 300, Tampa, FL 33609","","","","",NA,"1/14/2014 0:00","33609","33609",-82.5278895,27.9444344
113777048,"","","National Louis University at Countryside High School","National Louis University","113777","Additional Location","3000 State Road 580, Clearwater, FL 33761","","","","",NA,"3/28/2014 0:00","33761","33761",-82.7124153,28.0226199
113777049,"","","National Louis University at Oak Grove Middle School","National Louis University","113777","Additional Location","1370 South Belcher Road, Clearwater, FL 33764","","","","",NA,"","33764","33764",-82.7474411,27.9473527
113777076,"","","National Louis University at Manatee Technical Institute","National Louis University","113777","Additional Location","5530 Lakewood Ranch Blvd., Lakewood Ranch, FL 34211","","","","",NA,"","34211","34211",-82.4335915,27.4433933
113777077,"","","National Louis University at Pine View Middle School","National Louis University","113777","Additional Location","5334 Parkway Boulevard, Land O'Lakes, FL 34639-3801","","","","",NA,"3/28/2014 0:00","34639-3801","34639",-82.4277812,28.2352412
113777103,"","","National Louis University at Wilson Elementary","National Louis University","113777","Additional Location","702 English Street, Plant City, FL 33563","","","","",NA,"","33563","33563",-82.1292438,28.028467
113777165,"","","National Louis University at Bayside High School","National Louis University","113777","Additional Location","14405 49th Street North, Clearwater, FL 33762","","","","",NA,"1/10/2013 0:00","33762","33762",-82.6994252,27.9031386
113777172,"","","National Louis University at East Bay High School","National Louis University","113777","Additional Location","7710 Old Big Bend Road, Gibsonton, FL 33534","","","","",NA,"1/10/2013 0:00","33534","33534",-82.3632729,27.7948682
113777202,"","","National Louis University at Starkey Elementary School","National Louis University","113777","Additional Location","9300 86th Avenue, Seminole, FL 33777","","","","",NA,"1/10/2013 0:00","33777","33777",-82.7682519,27.8481338
113777337,"","","National Louis University at Florida Regional Center","National Louis University","113777","Additional Location","5110 Eisenhower Blvd., Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5469053,27.9930483
113777339,"","","National Louis University at Osceola Middle School","National Louis University","113777","Additional Location","9301 98th Street N, Seminole, FL 33777","","","","",NA,"","33777","33777",-82.7734774,27.856131
113777359,"","","National Louis University at Florida Regional Center","National Louis University","113777","Additional Location","5110 Eisenhower Blvd., Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5469053,27.9930483
113777366,"","","National Louis University at Manatee School District Professional Support Center","National Louis University","113777","Additional Location","2501 63rd St. E, Bradenton, FL 34203","","","","",NA,"","34203","34203",-82.4810102,27.4387524
113777368,"","","National Louis University at Scott Lake Elementary","National Louis University","113777","Additional Location","1140 East County Road 540 A, Lakeland, FL 33813","","","","",NA,"","33813","33813",-81.9444191,27.9528852
113777391,"","","Largo High School","National Louis University","113777","Additional Location","410 Missouri Avenue North, Largo, FL 33770","","","","",NA,"","33770","33770",-82.785102,27.9202936
113777392,"","","Riverview High School","National Louis University","113777","Additional Location","11311 Boyette Road, Riverview, FL 33569","","","","",NA,"","33569","33569",-82.3121008,27.8498405
113777394,"","","Florida Regional Center","National Louis University","113777","Additional Location","5110 Sunforest Drive, Suite 102, Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5469068,27.993205
113777400,"","","Plant City High School","National Louis University","113777","Additional Location","1 Raider Place, Plant City, FL 33563","","","","",NA,"","33563","33563",-82.1271597,27.9913757
113777401,"","","Gibb's High School","National Louis University","113777","Additional Location","850 34th Street South, St. Petersburg, FL 33771","","","","",NA,"","33771","33771",-82.6780903,27.7612137
114114081,"","","University of St. Francis at St. Joseph Hospital","University of St. Francis","114114","Additional Location","3001 W. Martin Luther King Jr Blvd, Tampa, FL 33607","","","","",NA,"11/9/2012 0:00","33607","33607",-82.4911306,27.9822844
114114087,"","","University of St. Francis at Hillsborogh Community College MacDill Center","University of St. Francis","114114","Additional Location","8102 Condor St., MacDill AFB, FL 33584","","","","",NA,"","33584","33584",-82.4894468,27.8504727
114114088,"","","University of St. Francis at Hillsborogh CC Dale Mabry Campus","University of St. Francis","114114","Additional Location","4001 W. Tampa Bay Blvd., Tampa, FL 33614","","","","",NA,"","33614","33614",-82.5092816,27.9761759
114114089,"","","University of St. Francis at Hillsborogh Community College Ybor City Campus","University of St. Francis","114114","Additional Location","2112 N. 15th Street, Tampa, FL 33605","","","","",NA,"","33605","33605",-82.4432839,27.9630091
115214041,"732952","450207","ITT Technical Institute - St. Petersburg","ITT Technical Institute - Indianapolis","115214","Additional Location","4809 Memorial Highway, Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5476,27.9823569
115214108,"732910","134909","ITT Technical Institute - Tampa","ITT Technical Institute - Indianapolis","115214","Additional Location","4809 Memorial Hwy, Tampa, FL 33634-7350","","","","",NA,"","33634-7350","33634",-82.5476,27.9823569
115214121,"10732933","470852","ITT Technical Institute - University Park","ITT Technical Institute - Indianapolis","115214","Additional Location","8039 Cooper Creek Boulevard, Bradenton, FL 34201","","","","",NA,"3/15/2015 0:00","34201","34201",-82.4531578,27.3975657
117496002,"3083702","406024","Galen College of Nursing - Tampa Bay","Galen College of Nursing","117496","Additional Location","11101 Roosevelt Blvd., Saint Petersburg, FL 33716","","","","",NA,"","33716","33716",-82.6509809,27.8746198
118879009,"","","Pasco Baptist Assoc","New Orleans Baptist Theological Seminary","118879","Additional Location","2537 Henley Blvd, Lutz, FL 33548","","","","",NA,"","33548","33548",-82.4806907,28.1340975
119155002,"","","LaSalle Tech","LaSalle Tech","119155","Additional Location","631 East Alexander Street, Plant City, FL 33563","","","","",NA,"","33563","33563",-82.1187829,27.9880567
120458003,"","","Uniformed Services University of the Health Sciences at James A. Healy Veterans Hospital","Uniformed Services University of the Health Sciences","120458","Additional Location","Grand Oak Plaza (118M), 8900 Grand Oak Circle, Tampa, FL 33637","","","","",NA,"","33637","33637",-82.3575945,28.0720118
121895006,"","","Springfield College SHS Tampa Campus","Springfield College","121895","Additional Location","10117 Princess Palm Avenue, 2nd Floor, Tampa, CA 33610","","","","",NA,"","33610","33610",-82.4571776,27.950575
123004038,"","","Northwood University at Coast Guard I","Northwood University","123004","Additional Location","1300 Beach Drive South East, St. Petersburg, FL 33701-5622","","","","",NA,"11/9/2012 0:00","33701-5622","33701",-82.6308502,27.7580829
123235006,"","","Thomas M. Cooley Law School Tampa Bay Campus","Western Michigan University Thomas M. Cooley Law School","123235","Additional Location","9401 Camden Field Parkway, Riverview, FL 33578","","","","",NA,"","33578","33578",-82.350477,27.908956
123341023,"","","Thomas M. Cooley Law School - Riverview","Western Michigan University","123341","Additional Location","9445 Camden Field Parkway, Riverview, FL 33578","","","","",NA,"","33578","33578",-82.3508143,27.9092524
123785081,"1049080","476115","Regency Beauty Institute - Tampa","Regency Beauty Institute","123785","Additional Location","14360-62 N. Dale Mabry Highway, Tampa, FL 33609","","","","",NA,"","33609","33609",-82.5059587,27.9451027
126386088,"","","Webster University at Tampa Bay Metropolitan","Webster University","126386","Additional Location","11201 Corporate Circle North, Suite 140, St. Petersburg, FL 33716","","","","",NA,"","33716","33716",-82.6543238,27.8734518
126386096,"","","Webster University at Lakeland Metropolitan","Webster University","126386","Additional Location","101 West Main Street City Center,  Suite 150, Lakeland, FL 33815","","","","",NA,"3/15/2010 0:00","33815","33815",-81.9916586,28.0482439
126386124,"","","Sarasota Metropolitan","Webster University","126386","Additional Location","8043 Cooper Creek Blvd., #101, University Park, FL 34201","","","","",NA,"","34201","34201",-82.4523109,27.3977198
126386133,"","","Lakeland Metropolitan","Webster University","126386","Additional Location","1479 Towne Center Dr., Suite 202, Lakeland, FL 33803","","","","",NA,"","33803","33803",-81.9796142,28.000639
127954019,"","","Florida Medical Training Institute - Tampa","Lincoln Technical Institute - Edison","127954","Additional Location","3611 Hillsborough Avenue, Suite 216, Tampa, FL 33614","","","","",NA,"12/31/2014 0:00","33614","33614",-82.5026267,27.9974169
132781007,"","","St. Petersburg Site","Utica College","132781","Additional Location","9400 4th Street North Suite 100, St. Petersburg, FL 33702","","","","",NA,"","33702","33702",-82.6391844,27.8580754
134246002,"","","Southeastern Baptist Theological Seminary Tampa","Southeastern Baptist Theological Seminary","134246","Additional Location","18333 Exciting Idlewild Boulevard, Lutz, FL 33548","","","","",NA,"","33548","33548",-82.4905701,28.1317002
139506016,"1054215","491136","Empire Beauty School","Empire Beauty School - Wyoming Valley","139506","Additional Location","Brandon Crossings, 10083 East Adamo Drive, Tampa, FL 33619","","","","",NA,"","33619","33619",-82.3380768,27.9421472
139621035,"","","Gannon University at Ruskin","Gannon University","139621","Additional Location","105 Commercial Center Drive, Ruskin, FL 33570","","","","",NA,"","33570","33570",-82.378889,27.711005
141051003,"","","Pittsburgh Theological Seminary - Eckerd College","Pittsburgh Theological Seminary","141051","Additional Location","4200 54th Avenue South, St. Petersburg, FL 33711","","","","",NA,"","33711","33711",-82.6864615,27.7147288
143525001,"350200","","Lincoln Memorial University - Tampa","Lincoln Memorial University","143525","Additional Location","3102 East 138th Street, Tampa, FL 33613","","","","",NA,"","33613","33613",-82.4233891,28.0739516
144786006,"","","Dallas Theological Seminary - Tampa Bay Extension","Dallas Theological Seminary","144786","Additional Location","6202 N. Himes, Tampa, FL 33614","","","","",NA,"6/7/2016 0:00","33614","33614",-82.5015575,28.0041881
150969007,"","","Sistema Universitario Ana G Mendez - Universidad Metropolitana - Tampa Branch Campus","Universidad Ana G. Mendez ? Cupey Campus","150969","Additional Location","3655 West Waters Avenue, Tampa, FL 33614","","","","",NA,"","33614","33614",-82.5025862,28.0285336
151494009,"","","Sistema Universitario Ana G. Mendez Universidad del Este - Tampa Branch Campus","Universidad Ana G. Mendez ? Carolina Campus","151494","Additional Location","3655 West Waters Avenue, Tampa, FL 33614","","","","",NA,"","33614","33614",-82.5025862,28.0285336
151582009,"","","Sistema Universitario Ana G Mendez - Universidad Del Turabo - Tampa Branch Campus","Universidad Ana G. Mendez ? Gurabo Campus","151582","Additional Location","3655 West Waters Avenue, Tampa, FL 33614","","","","",NA,"","33614","33614",-82.5025862,28.0285336
152761,"3096300","250498","Fortis Institute - Mulberry","-","-","Institution","5925 Imperial Parkway, Suite 200, Mulberry, FL 33860","8636461400","Joseph W Marino Sr","8636461400","jwmarino@marcogrp.com",8636465236,"","33860","33860",-81.98583,27.93696
154369003,"","","Southern Technical College at Tampa","Southern Technical College at Fort Myers","154369","Additional Location","3910 Riga Blvd., Tampa, FL 33619","","","","",NA,"","33619","33619",-82.3476681,27.9795612
154776,"2601600","367875","Brewster Technical College","-","-","Institution","2222 North Tampa Street, Tampa, FL 33602-2196","8132765448","Paul Gansemer","8132765464, ext. 282","paul.gansemer@sdhc.k12.fl.us",NA,"","33602-2196","33602",-82.4617575,27.9643686
154794,"3459400","367893","St Petersburg Theological Seminary","-","-","Institution","10830 Navajo Dr, St. Petersburg, FL 33708-3116","7273990276","DR. MYRON MILLER","7273990276","",NA,"","33708-3116","33708",-82.7901014,27.8132937
155177,"559400","369419","Erwin Technical College","-","-","Institution","2010 E Hillsborough Ave, Tampa, FL 33612","8132311903","MICHAEL D DONOHUE","8132388631","",NA,"","33612","33612",-82.438432,27.9976376
155177002,"","","D.G. Erwin Technical Center at Middleton High School","Erwin Technical College","155177","Additional Location","4801 N. 22nd Street, Tampa, FL 33610","","","","",NA,"","33610","33610",-82.4335256,27.989891
155177003,"","","D.G. Erwin Technical Center at Tampa Bay Technical High School","Erwin Technical College","155177","Additional Location","6410 Orient Road, Tampa, FL 33610","","","","",NA,"","33610","33610",-82.3745854,28.0085172
155177004,"","","Erwin Technical College, East Campus","Erwin Technical College","155177","Additional Location","7010 North Manhattan Avenue, Tampa, FL 33614","","","","",NA,"","33614","33614",-82.5183723,28.0132824
155177005,"","","Erwin Technical College, South","Erwin Technical College","155177","Additional Location","620 E. 7th Avenue, Tampa, FL 33602","","","","",NA,"","33602","33602",-82.4531183,27.9606615
155663,"2524000","372718","Sunstate Academy","-","-","Institution","2525 Drew St, Clearwater, FL 33765-2702","7275383827","GAYL SIMON","7275383827","gayl@llc.net",7275396118,"","33765-2702","33765",-82.7327333,27.9670998
156912,"3816300","378886","Artistic Nails and Beauty Academy","-","-","Institution","4951 Adamo Drive, Suite 120, Tampa, FL 33605","8136544529, ext. 201","ROBERT ROSENBERG","8136544529, ext. 204","",8136531728,"","33605","33605",-82.4030285,27.9514081
156921,"3035900","378956","National Aviation Academy","-","-","Institution","6225 Ulmerton Road, Clearwater, FL 33760","7275312080, ext. 24","Pam Van Sant","7275312080, ext. 21","",7275358727,"3/13/2019 0:00","33760","33760",-82.7217894,27.8948589
156921001,"","","National Aviation Academy","National Aviation Academy","156921","Additional Location","14403 Airport Parkway, Clearwater, FL 33762","","","","",NA,"","33762","33762",-82.6921334,27.9025578
157146004,"2531805","449959","Paul Mitchell the School Tampa","Paul Mitchell the School - Provo","157146","Additional Location","7823 Citrus Park Town Center Mall, Tampa, FL 33625","","","","",NA,"","33625","33625",-82.5744548,28.0687543
159179,"2314100","404338","Schiller International University","-","-","Institution","400 North Tampa Street, Tampa, FL 33602","7277365082, ext. 221","Mr. Allan Alvarez","7277365082, ext. 234","Allan.Alvarez@schiller.edu",7277388405,"12/4/2020 0:00","33602","33602",-82.4590704,27.9477653
159249004,"2616401","379029","Sanford-Brown Institute - Tampa","Sanford-Brown College at Jacksonville","159249","Additional Location","5701 E. Hillsborough Ave., Suite 1417, Tampa, FL 33610-5428","","","","",NA,"5/5/2014 0:00","33610-5428","33610",-82.3906908,27.9924773
160108002,"","","Lake Erie College of Osteopathic Medicine - Bradenton","Lake Erie College of Osteopathic Medicine","160108","Additional Location","5000 Lakewood Ranch Boulevard, Bradenton, FL 34211","","","","",NA,"","34211","34211",-82.4333043,27.4518653
160108005,"","","LECOM College of Dental Medicine","Lake Erie College of Osteopathic Medicine","160108","Site","4800 Lakewood Ranch Boulevard, Bradenton, FL 34211","","","","",NA,"","34211","34211",-82.4328053,27.4553529
